name,SM,mem,FB,rxpci,txpci,CPU utilization,EXEC,IPC,FREQ,AFREQ,FPS
1,96,29,2241,265,41,34,0.31,0.6,0.52,1.37,240
2,95,42,929,1505,174,65,0.61,0.59,1.02,1.32,170
3,42,11,1639,793,88,26,0.56,1.28,0.44,1.37,60
4,80,60,653,110,15,17,0.51,1.18,0.43,1.38,200
5,20,6,1148,70,11,8,0.24,1.07,0.22,1.24,240
6,12,5,1143,110,8,10,0.26,0.67,0.39,1.37,60
7,61,16,447,1399,160,16,0.51,0.98,0.52,1.34,575
8,38,21,1220,300,30,45,1.37,1.96,0.69,1.35,60
9,29,22,335,99,10,7,0.1,0.66,0.15,1.06,60
10,10,4,596,440,37,23,0.28,0.66,0.42,1.13,60
11,98,69,1400,671,81,36,0.63,0.94,0.67,1.34,185
12,97,54,1497,170,26,33,0.8,1.15,0.69,1.16,290
13,51,25,1581,177,20,35,0.58,0.98,0.59,1.35,121
14,49,16,1037,70,14,12,0.18,0.65,0.28,1.19,62
15,98,37,1553,279,33,51,0.74,0.93,0.79,1.35,110
16,25,20,372,8,1,1,0.04,0.45,0.08,1.03,60
17,58,20,1255,426,81,39,0.54,0.74,0.73,1.35,158
18,53,29,469,554,66,36,0.58,0.83,0.7,1.36,137
19,48,25,3656,60,12,25,0.39,0.89,0.43,1.35,115
20,98,57,1093,164,25,40,0.74,0.96,0.77,1.35,240
21,38,14,1618,188,20,21,0.26,0.77,0.34,1.28,100
22,99,49,1057,886,117,63,0.46,0.63,0.73,1.35,180
23,38,19,1116,928,105,27,0.34,0.77,0.44,1.37,223
24,43,21,2388,115,263,50,0.58,0.76,0.77,1.31,122
25,7,3,714,44,5,23,0.13,0.45,0.29,1.07,60
26,51,23,1163,191,25,42,0.57,0.86,0.66,1.35,170
27,45,20,922,702,81,59,0.5,0.62,0.81,1.29,165
28,34,10,869,258,27,27,0.48,0.78,0.62,1.37,229
29,46,21,1665,373,387,41,0.49,0.57,0.85,1.32,132
30,88,31,2017,495,52,38,0.53,0.68,0.78,1.21,117
31,38,17,2028,91,12,19,0.3,0.54,0.56,1.18,60
32,70,40,798,937,107,39,0.63,0.72,0.88,1.35,402
33,9,2,2075,15,4,2,0.2,0.6,0.34,1.24,60
34,97,52,1546,2695,272,41,0.96,1.03,0.93,1.27,168
35,14,4,1494,70,10,8,0.29,0.68,0.42,1.22,60
36,98,38,3897,152,216,30,0.46,0.85,0.54,1.14,113
37,12,8,1166,51,3,16,0.1,0.43,0.23,1.34,60
38,37,16,900,458,57,26,0.51,0.97,0.53,1.32,60
39,38,17,1527,56,8,15,0.16,0.54,0.3,1.31,60
40,99,43,2000,850,99,37,0.69,0.87,0.79,1.35,180
41,13,3,688,30,6,3,0.15,0.53,0.29,1.36,60
42,10,5,1059,20,3,5,0.19,0.53,0.36,1.35,60
43,74,50,1285,167,24,43,0.63,0.68,0.93,1.35,227
44,36,8,1438,114,16,15,0.28,0.72,0.39,1.12,70
45,91,21,2384,2355,245,68,1.12,1.06,1.06,1.35,180
46,29,7,1632,40,10,20,0.28,0.6,0.45,1.37,60
47,41,23,4116,151,21,45,0.87,1,0.86,1.35,146
48,98,46,1131,126,54,38,0.7,0.9,0.78,1.32,330
49,96,53,5795,243,31,34,0.34,0.68,0.5,1.15,120
50,52,41,4186,158,14,22,0.26,0.52,0.5,1.32,75
51,30,16,1165,102,16,1,0.11,0.66,0.17,0.99,120
52,60,25,1887,494,71,25,0.51,0.74,0.7,1.35,250
53,33,8,946,315,42,44,0.67,0.72,0.93,1.35,140
54,37,8,835,379,45,21,0.46,0.93,0.49,1.38,162
55,30,10,1636,78,22,18,0.28,0.57,0.49,1.04,60
56,94,36,2433,191,26,50,0.53,0.51,1.04,1.31,145
57,26,13,892,105,12,12,0.44,0.75,0.59,1.27,465
58,75,30,2080,413,54,74,1.04,0.82,1.27,1.35,152
59,57,20,2213,118,22,20,0.21,0.52,0.41,1.36,120
60,45,28,4780,280,35,26,0.38,0.75,0.51,1.23,60
61,87,40,3155,525,78,38,0.45,0.72,0.63,1.29,130
62,94,23,2821,521,232,62,0.93,0.9,1.02,1.35,127
63,19,6,3205,153,27,40,0.57,0.93,0.61,1.37,31
64,88,32,2415,1041,134,39,0.58,0.81,0.71,1.35,111
65,40,14,2699,71,7,23,0.29,0.73,0.4,1.37,62
66,73,30,4201,117,20,63,0.44,0.49,0.89,1.16,135
67,98,53,1971,150,21,39,0.47,0.71,0.65,1.32,140
68,57,15,962,2006,238,27,0.37,0.77,0.47,1.37,195
69,25,11,1479,71,10,8,0.14,0.7,0.2,1.38,60
70,35,16,1808,832,128,16,0.27,0.8,0.34,1.35,60
71,35,9,1275,126,15,33,0.44,0.79,0.55,1.36,120
72,37,16,946,400,50,12,0.29,0.65,0.44,1.37,62
73,58,28,2797,714,117,33,0.57,0.74,0.77,1.35,250
74,55,17,2567,203,24,22,0.46,0.84,0.55,1.1,60
75,54,35,2572,122,16,37,0.66,0.93,0.71,1.13,148
76,47,16,1071,208,30,24,0.49,0.76,0.65,1.36,955
77,95,37,1652,282,83,50,0.51,0.52,0.97,1.32,157
78,58,18,1796,752,93,40,0.59,0.71,0.83,1.35,60
79,96,61,1672,272,36,50,0.61,0.77,0.79,1.14,220
80,80,34,1307,205,47,49,0.65,0.62,1.05,1.35,350
81,15,4,1629,100,20,10,0.25,0.64,0.38,1.12,60
82,48,21,1263,550,72,42,0.55,0.66,0.83,1.35,60
83,28,8,2014,134,10,7,0.23,0.58,0.39,1.35,60
84,31,12,1388,40,5,16,0.38,0.82,0.47,1.05,60
85,38,17,1804,133,20,14,0.26,0.52,0.5,1.36,60
86,53,25,2353,249,40,41,0.9,1.11,0.81,1.35,60
87,34,8,898,700,118,36,0.67,0.99,0.67,1.36,96
88,19,8,960,219,30,12,0.31,0.86,0.36,1.31,60
89,29,9,2305,100,10,16,0.19,0.56,0.35,1.36,60
90,80,25,2768,374,150,68,0.89,0.85,1.05,1.31,138
91,97,50,2737,225,31,36,0.51,0.92,0.56,1.28,99
92,17,5,1587,50,15,8,0.13,0.74,0.17,1.22,60
93,37,15,1556,60,8,9,0.15,0.68,0.22,1.24,62
94,75,23,4063,302,45,43,0.45,0.6,0.75,1.34,60
95,96,45,2933,351,15,51,0.57,0.66,0.85,1.35,145
96,72,30,2083,1032,114,40,0.56,0.89,0.63,1.38,219
97,47,35,2474,88,15,26,0.36,1,0.36,1.28,60
98,40,13,1284,199,20,11,0.19,0.72,0.26,1.32,60
99,15,6,848,157,30,24,0.55,1.38,0.4,1.38,60
100,70,28,871,1989,199,43,0.68,0.88,0.78,1.35,257
